NEAMONITIS
36,1,0,1,0,-1,-1,0,-1,0,-1,-1
37,0,0,0,0,-1,0,0,-1,-1,-1,-1
38,1,0,1,0,0,-1,0,-1,-1,-1,-1
39,1,0,1,-1,-1,-1,0,-1,-1,0,-1
40,1,0,1,-1,-1,0,0,-1,-1,-1,-1
41,1,0,1,0,-1,0,0,-1,-1,-1,-1
42,1,0,1,-1,0,-1,-1,-1,0,-1,-1
43,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1
44,1,0,1,0,-1,-1,-1,-1,0,-1,-1
45,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
46,0,-1,0,-1,0,-1,-1,-1,-1,-1,-1
47,1,0,1,-1,-1,0,0,-1,-1,-1,-1
48,1,0,1,-1,-1,0,0,-1,-1,-1,-1
49,1,0,1,-1,0,0,0,-1,-1,-1,-1
50,0,0,0,0,0,-1,0,-1,-1,-1,-1
51,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
52,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
53,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
55,1,0,1,0,0,-1,0,-1,-1,-1,-1
56,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1
57,0,0,0,-1,-1,-1,0,-1,-1,-1,-1
58,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
59,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1
60,0,0,0,-1,-1,-1,0,-1,-1,-1,-1
61,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
62,1,-1,1,0,-1,-1,-1,-1,-1,-1,-1
63,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1
64,0,0,-1,0,0,-1,-1,-1,0,0,-1
65,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1
66,1,-1,1,0,0,-1,-1,-1,-1,-1,-1
67,0,0,-1,-1,0,-1,-1,0,-1,-1,-1
68,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1
69,0,0,-1,-1,-1,-1,0,-1,-1,0,-1
70,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1
71,0,0,-1,-1,-1,-1,0,-1,-1,0,-1
72,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1
73,0,0,-1,0,0,-1,-1,0,-1,-1,-1
74,0,-1,0,0,0,-1,-1,-1,-1,-1,-1
75,0,0,-1,0,0,-1,-1,-1,0,0,-1
76,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
77,0,0,-1,0,0,-1,-1,0,-1,0,-1
79,1,0,0,-1,-1,-1,-1,-1,0,-1,-1
80,1,0,0,-1,-1,-1,0,-1,-1,0,-1
81,1,0,0,-1,-1,-1,-1,-1,0,-1,-1
90,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
